id,X,Y
126,121.8078,26.9483
127,121.8828,26.9483
128,121.9578,26.9483
129,122.0328,26.9483
130,122.1078,26.9483
131,122.1828,26.9483
132,122.2578,26.9483
133,122.3328,26.9483
134,122.4078,26.9483
135,122.4828,26.9483
136,122.5578,26.9483
137,122.6328,26.9483
138,122.7078,26.9483
139,122.7828,26.9483
140,122.8578,26.9483
141,122.9328,26.9483
142,123.0078,26.9483
143,123.0828,26.9483
144,123.1578,26.9483
145,123.2328,26.9483
146,123.3078,26.9483
147,123.3828,26.9483
148,123.4578,26.9483
149,123.5328,26.9483
150,117.9828,26.8733
151,118.0578,26.8733
152,118.1328,26.8733
153,118.2078,26.8733
154,118.2828,26.8733
155,118.3578,26.8733
156,118.4328,26.8733
157,118.5078,26.8733
158,118.5828,26.8733
159,118.6578,26.8733
160,118.7328,26.8733
161,118.8078,26.8733
162,118.8828,26.8733
163,118.9578,26.8733
164,119.0328,26.8733
165,119.1078,26.8733
166,119.1828,26.8733
167,119.2578,26.8733
168,119.3328,26.8733
169,119.4078,26.8733
170,119.4828,26.8733
171,119.5578,26.8733
172,119.6328,26.8733
173,119.7078,26.8733
174,119.7828,26.8733
175,119.8578,26.8733
176,119.9328,26.8733
177,120.0078,26.8733
178,120.0828,26.8733
179,120.1578,26.8733
180,120.2328,26.8733
181,120.3078,26.8733
182,120.3828,26.8733
183,120.4578,26.8733
184,120.5328,26.8733
185,120.6078,26.8733
186,120.6828,26.8733
187,120.7578,26.8733
188,120.8328,26.8733
189,120.9078,26.8733
190,120.9828,26.8733
191,121.0578,26.8733
192,121.1328,26.8733
193,121.2078,26.8733
194,121.2828,26.8733
195,121.3578,26.8733
196,121.4328,26.8733
197,121.5078,26.8733
198,121.5828,26.8733
199,121.6578,26.8733
200,121.7328,26.8733
201,121.8078,26.8733
202,121.8828,26.8733
203,121.9578,26.8733
204,122.0328,26.8733
205,122.1078,26.8733
206,122.1828,26.8733
207,122.2578,26.8733
208,122.3328,26.8733
209,122.4078,26.8733
210,122.4828,26.8733
211,122.5578,26.8733
212,122.6328,26.8733
213,122.7078,26.8733
214,122.7828,26.8733
215,122.8578,26.8733
216,122.9328,26.8733
217,123.0078,26.8733
218,123.0828,26.8733
219,123.1578,26.8733
220,123.2328,26.8733
221,123.3078,26.8733
222,123.3828,26.8733
223,123.4578,26.8733
224,123.5328,26.8733
225,117.9828,26.7983
226,118.0578,26.7983
227,118.1328,26.7983
228,118.2078,26.7983
229,118.2828,26.7983
230,118.3578,26.7983
231,118.4328,26.7983
232,118.5078,26.7983
233,118.5828,26.7983
234,118.6578,26.7983
235,118.7328,26.7983
236,118.8078,26.7983
237,118.8828,26.7983
238,118.9578,26.7983
239,119.0328,26.7983
240,119.1078,26.7983
241,119.1828,26.7983
242,119.2578,26.7983
243,119.3328,26.7983
244,119.4078,26.7983
245,119.4828,26.7983
246,119.5578,26.7983
247,119.6328,26.7983
248,119.7078,26.7983
249,119.7828,26.7983
250,119.8578,26.7983
251,119.9328,26.7983
252,120.0078,26.7983
253,120.0828,26.7983
254,120.1578,26.7983
255,120.2328,26.7983
256,120.3078,26.7983
257,120.3828,26.7983
258,120.4578,26.7983
259,120.5328,26.7983
260,120.6078,26.7983
261,120.6828,26.7983
262,120.7578,26.7983
263,120.8328,26.7983
264,120.9078,26.7983
265,120.9828,26.7983
266,121.0578,26.7983
267,121.1328,26.7983
268,121.2078,26.7983
269,121.2828,26.7983
270,121.3578,26.7983
271,121.4328,26.7983
272,121.5078,26.7983
273,121.5828,26.7983
274,121.6578,26.7983
275,121.7328,26.7983
276,121.8078,26.7983
277,121.8828,26.7983
278,121.9578,26.7983
279,122.0328,26.7983
280,122.1078,26.7983
281,122.1828,26.7983
282,122.2578,26.7983
283,122.3328,26.7983
284,122.4078,26.7983
285,122.4828,26.7983
286,122.5578,26.7983
287,122.6328,26.7983
288,122.7078,26.7983
289,122.7828,26.7983
290,122.8578,26.7983
291,122.9328,26.7983
292,123.0078,26.7983
293,123.0828,26.7983
294,123.1578,26.7983
295,123.2328,26.7983
296,123.3078,26.7983
297,123.3828,26.7983
298,123.4578,26.7983
299,123.5328,26.7983
300,117.9828,26.7233
301,118.0578,26.7233
302,118.1328,26.7233
303,118.2078,26.7233
304,118.2828,26.7233
305,118.3578,26.7233
306,118.4328,26.7233
307,118.5078,26.7233
308,118.5828,26.7233
309,118.6578,26.7233
310,118.7328,26.7233
311,118.8078,26.7233
312,118.8828,26.7233
313,118.9578,26.7233
314,119.0328,26.7233
315,119.1078,26.7233
316,119.1828,26.7233
317,119.2578,26.7233
318,119.3328,26.7233
319,119.4078,26.7233
320,119.4828,26.7233
321,119.5578,26.7233
322,119.6328,26.7233
323,119.7078,26.7233
324,119.7828,26.7233
325,119.8578,26.7233
326,119.9328,26.7233
327,120.0078,26.7233
328,120.0828,26.7233
329,120.1578,26.7233
330,120.2328,26.7233
331,120.3078,26.7233
332,120.3828,26.7233
333,120.4578,26.7233
334,120.5328,26.7233
335,120.6078,26.7233
336,120.6828,26.7233
337,120.7578,26.7233
338,120.8328,26.7233
339,120.9078,26.7233
340,120.9828,26.7233
341,121.0578,26.7233
342,121.1328,26.7233
343,121.2078,26.7233
344,121.2828,26.7233
345,121.3578,26.7233
346,121.4328,26.7233
347,121.5078,26.7233
348,121.5828,26.7233
349,121.6578,26.7233
350,121.7328,26.7233
351,121.8078,26.7233
352,121.8828,26.7233
353,121.9578,26.7233
354,122.0328,26.7233
355,122.1078,26.7233
356,122.1828,26.7233
357,122.2578,26.7233
358,122.3328,26.7233
359,122.4078,26.7233
360,122.4828,26.7233
361,122.5578,26.7233
362,122.6328,26.7233
363,122.7078,26.7233
364,122.7828,26.7233
365,122.8578,26.7233
366,122.9328,26.7233
367,123.0078,26.7233
368,123.0828,26.7233
369,123.1578,26.7233
370,123.2328,26.7233
371,123.3078,26.7233
372,123.3828,26.7233
